transaction_id,timestamp,customer_name,city,product,category,quantity,unit_price_eur,payment_method,satisfaction_score,returned,total_revenue_eur,data_quality_flag
17,2025-09-06 21:43:05,Murry Stollberger,Leipzig,Maus,Electronics,10,570.15,PayPal,5,Nein,5701.5,OK
18,2026-05-05 10:59:06,Faythe MacKenny,Stuttgart,Laptop,Zubehör,4,351.51,Barzahlung,5,Ja,1406.04,OK
19,2026-03-10 7:24:41,Charin Kemmis,Stuttgart,Laptop,Zubehör,10,223.7,Barzahlung,5,Nein,2237,OK
20,2025-06-15 22:23:44,Dido Sharper,Stuttgart,Smartphone,Zubehör,8,631.81,Barzahlung,1,Nein,5054.48,OK
21,2026-03-09 16:45:03,Elvis Landrick,München,Kopfhörer,Electronics,5,743.78,Kreditkarte,3,Nein,3718.9,OK
22,2026-03-23 3:57:00,Sukey Luberti,Leipzig,Kopfhörer,Zubehör,1,739.27,PayPal,2,Nein,739.27,OK
23,2025-12-11 22:17:34,Kaleena Pleavin,München,Smartphone,Zubehör,6,928.32,PayPal,2,Nein,5569.92,OK
24,2026-04-19 13:02:48,Selia Liddell,München,Webcam,Zubehör,1,605.81,PayPal,1,Nein,605.81,OK
25,2026-05-24 3:37:47,Bellina La Wille,Köln,USB-Hub,Zubehör,2,1135.73,Kreditkarte,4,Ja,2271.46,OK
26,2026-05-19 0:06:51,Ailina Deegan,Leipzig,Webcam,Electronics,4,420.37,Banküberweisung,5,Nein,1681.48,OK
27,2026-02-17 18:26:39,Lancelot Birrane,Düsseldorf,Maus,Electronics,8,265.32,PayPal,3,Ja,2122.56,OK
28,2025-08-27 13:46:02,Mavra Innocenti,Berlin,Kopfhörer,Electronics,5,475.16,Kreditkarte,5,Nein,2375.8,OK
29,2025-11-20 19:55:18,Otho Ramsby,Köln,Kopfhörer,Zubehör,4,1008.74,PayPal,2,Ja,4034.96,OK
30,2025-06-26 9:04:35,Anissa Paulack,Stuttgart,USB-Hub,Zubehör,7,1007.5,PayPal,5,Nein,7052.5,OK
31,2025-12-19 16:29:33,Emilio Hedgecock,Köln,Laptop,Electronics,4,526.16,Banküberweisung,4,Nein,2104.64,OK
32,2026-02-19 20:11:29,Natasha Longworth,Düsseldorf,Monitor,Zubehör,6,512.86,Barzahlung,4,Ja,3077.16,OK
33,2025-08-12 7:50:27,Prent Sleeman,Stuttgart,Kopfhörer,Zubehör,4,497.92,PayPal,2,Nein,1991.68,OK
34,2026-03-06 22:28:12,Nara Hargreaves,Berlin,Maus,Electronics,8,199.22,Banküberweisung,4,Nein,1593.76,OK
35,2025-08-01 9:01:32,Myrtice Guiel,Düsseldorf,Smartphone,Zubehör,5,364.62,Barzahlung,1,Nein,1823.1,OK
36,2025-09-24 18:12:13,Emerson Newns,Stuttgart,Tastatur,Zubehör,7,873.59,Kreditkarte,3,Nein,6115.13,OK
37,2025-08-21 4:00:57,Winne Cleft,Stuttgart,Monitor,Electronics,6,311.12,PayPal,5,Nein,1866.72,OK
38,2025-10-25 4:44:01,Carleen Worgan,Köln,Smartphone,Electronics,3,581.88,PayPal,4,Nein,1745.64,OK
39,2026-02-28 2:58:56,Silvana Scrivener,München,Webcam,Electronics,3,375.28,Banküberweisung,5,Nein,1125.84,OK
40,2025-08-28 8:55:46,Elly McCurlye,München,Maus,Electronics,2,121.12,Barzahlung,1,Nein,242.24,OK
41,2025-10-22 14:10:59,Daisey Udden,Frankfurt,Kopfhörer,Electronics,6,394.46,Banküberweisung,3,Nein,2366.76,OK
42,2025-10-30 5:24:46,Eileen McAuslan,Berlin,Webcam,Zubehör,9,355.84,Banküberweisung,1,Nein,3202.56,OK
43,2026-03-24 7:48:40,Leonhard Robbins,Frankfurt,Tastatur,Zubehör,3,922.25,Kreditkarte,2,Nein,2766.75,OK
44,2026-04-02 9:05:44,Fredra Maccrae,München,USB-Hub,Electronics,1,252.84,Banküberweisung,2,Ja,252.84,OK
45,2026-05-19 12:39:26,Robbie Veldens,Stuttgart,USB-Hub,Electronics,2,1175.81,Barzahlung,3,Nein,2351.62,OK
46,2025-08-27 16:18:09,Papagena Burbridge,Stuttgart,Smartphone,Zubehör,10,1123.87,PayPal,2,Ja,11238.7,OK
47,2026-05-13 8:08:00,Stephanus Denzilow,Hamburg,Smartphone,Electronics,5,403.88,PayPal,4,Nein,2019.4,OK
48,2025-06-10 22:14:29,Silvan Barbery,Stuttgart,Kopfhörer,Electronics,10,1033.58,Banküberweisung,3,Nein,10335.8,OK
49,2026-02-19 1:27:42,Chaddie Malimoe,Köln,Webcam,Electronics,1,839.84,Barzahlung,3,Nein,839.84,OK
50,2026-05-01 13:23:12,Darla Abilowitz,Hamburg,Tastatur,Electronics,9,885.17,Barzahlung,5,Nein,7966.53,OK
51,2025-08-22 17:25:13,Charil Pratt,Leipzig,Webcam,Electronics,5,15.6,PayPal,4,Ja,78,OK
52,2026-03-30 7:08:06,Yvette Trevett,Leipzig,USB-Hub,Electronics,4,612.47,Banküberweisung,2,Nein,2449.88,OK
53,2026-04-10 2:46:33,Huey Daddow,München,Maus,Zubehör,9,740.12,Kreditkarte,5,Nein,6661.08,OK
54,2025-06-11 22:59:03,Ardra Novik,Leipzig,Tastatur,Zubehör,10,1107.6,PayPal,5,Ja,11076,OK
55,2025-09-26 22:40:20,Mamie Baukham,Stuttgart,Maus,Electronics,4,814.79,Barzahlung,5,Nein,3259.16,OK
56,2026-02-25 23:52:10,Dallas Balmer,Leipzig,USB-Hub,Zubehör,5,819.16,Barzahlung,4,Nein,4095.8,OK
57,2026-04-27 2:20:56,Janet Saladine,Berlin,Maus,Electronics,8,215.04,PayPal,4,Nein,1720.32,OK
58,2026-05-04 23:10:14,Moyra Ockwell,Leipzig,Smartphone,Zubehör,1,681.74,Banküberweisung,4,Nein,681.74,OK
59,2026-03-31 6:50:50,Kellsie Di Carlo,Frankfurt,Monitor,Electronics,5,856.33,Kreditkarte,5,Nein,4281.65,OK
60,2025-08-11 4:44:13,Bernarr Butchers,Köln,Laptop,Electronics,9,373.24,Banküberweisung,2,Ja,3359.16,OK
61,2025-10-04 17:08:22,Arlina Hexam,Düsseldorf,Tastatur,Zubehör,4,1094.04,Kreditkarte,1,Ja,4376.16,OK
62,2026-04-25 18:16:32,Aldrich Gilligan,Frankfurt,Laptop,Zubehör,5,935.64,Banküberweisung,1,Nein,4678.2,OK
63,2026-01-05 7:52:26,Lodovico Mordie,Frankfurt,Smartphone,Zubehör,5,841.3,Kreditkarte,1,Nein,4206.5,OK
64,2025-08-05 13:55:47,Amelita Gyurko,München,Laptop,Electronics,1,1191.47,Barzahlung,4,Nein,1191.47,OK
65,2026-05-09 1:31:15,Farrah Neeson,Leipzig,Tastatur,Electronics,3,541.08,Barzahlung,4,Ja,1623.24,OK
66,2025-11-10 18:18:31,Ellis Bartoloma,Frankfurt,Smartphone,Electronics,8,482.78,Banküberweisung,2,Nein,3862.24,OK
67,2025-09-12 5:17:12,Aldous Chiommienti,Leipzig,Kopfhörer,Zubehör,6,718.82,PayPal,4,Nein,4312.92,OK
68,2025-09-23 22:23:44,Beverly Symonds,Köln,Webcam,Electronics,3,960.11,Kreditkarte,4,Nein,2880.33,OK
69,2026-02-13 13:57:47,Druci Urry,Leipzig,Tastatur,Zubehör,4,254.62,PayPal,1,Nein,1018.48,OK
70,2025-08-11 21:37:51,Uriel Leonida,Leipzig,Kopfhörer,Electronics,5,146.01,Kreditkarte,3,Ja,730.05,OK
71,2025-07-01 13:12:36,Charil Haistwell,Leipzig,Monitor,Zubehör,6,194.19,Barzahlung,5,Nein,1165.14,OK
72,2025-07-03 13:11:28,Ali Blackey,Köln,Maus,Zubehör,4,125.77,PayPal,3,Nein,503.08,OK
73,2026-05-19 2:28:57,Colan Kitlee,Düsseldorf,Kopfhörer,Zubehör,5,564.07,PayPal,1,Nein,2820.35,OK
74,2025-10-21 12:31:12,Brandea Forsey,Leipzig,Monitor,Zubehör,6,797.19,Barzahlung,4,Nein,4783.14,OK
75,2026-02-02 21:31:50,Kirsteni Samart,Frankfurt,Tastatur,Zubehör,9,108.46,Banküberweisung,4,Ja,976.14,OK
76,2025-06-26 16:46:53,Cristen Kingett,Düsseldorf,Monitor,Electronics,7,775.81,PayPal,1,Nein,5430.67,OK
77,2026-03-15 10:41:13,Bertina Streeton,München,Kopfhörer,Electronics,1,392.39,Barzahlung,3,Nein,392.39,OK
78,2025-06-21 19:17:15,Devlen Reef,Berlin,USB-Hub,Zubehör,1,520.99,PayPal,1,Nein,520.99,OK
79,2025-06-26 6:06:54,Hayden Staig,Stuttgart,Monitor,Electronics,10,767.67,Barzahlung,1,Ja,7676.7,OK
80,2025-07-11 0:59:07,Vina MacMenamie,Berlin,Monitor,Zubehör,2,241.08,Kreditkarte,2,Nein,482.16,OK
81,2025-11-15 1:10:36,Vevay Cockren,Frankfurt,Maus,Zubehör,5,66.95,Kreditkarte,5,Nein,334.75,OK
82,2026-01-15 22:14:58,Johan Plunkett,Hamburg,Webcam,Electronics,5,782.28,Banküberweisung,5,Nein,3911.4,OK
83,2026-03-14 6:50:09,Eran Shillam,Leipzig,Monitor,Electronics,10,133.36,PayPal,2,Nein,1333.6,OK
84,2025-08-27 3:36:18,Rozella Charley,Leipzig,Maus,Electronics,3,807.26,PayPal,3,Nein,2421.78,OK
85,2025-09-12 0:47:36,Netti Caulfield,Hamburg,Kopfhörer,Zubehör,6,408.52,Banküberweisung,5,Ja,2451.12,OK
86,2026-02-04 1:56:01,Heriberto Boich,Berlin,Monitor,Electronics,7,995.26,Kreditkarte,5,Nein,6966.82,OK
87,2026-03-22 18:20:06,Deeann Killner,Stuttgart,Tastatur,Zubehör,10,163.77,Barzahlung,1,Nein,1637.7,OK
88,2025-11-02 5:54:08,Matilde Dowles,Berlin,Kopfhörer,Zubehör,1,514.51,Kreditkarte,3,Nein,514.51,OK
89,2025-11-05 3:21:13,Brianne Kernar,Köln,Maus,Zubehör,4,421.11,Barzahlung,2,Nein,1684.44,OK
90,2026-01-08 10:22:30,Tadeas Bakhrushin,Stuttgart,Webcam,Electronics,9,1091.23,Kreditkarte,4,Ja,9821.07,OK
91,2025-08-31 11:02:22,Durand Braunes,München,Webcam,Zubehör,3,498.27,Barzahlung,4,Nein,1494.81,OK
92,2025-08-18 14:19:50,Alameda Head,Hamburg,Kopfhörer,Electronics,3,360.9,Banküberweisung,5,Nein,1082.7,OK
93,2025-09-24 8:34:16,Griselda Dami,Berlin,Laptop,Zubehör,8,844.2,Kreditkarte,5,Nein,6753.6,OK
94,2026-06-03 22:38:04,Kellie Tedstone,Köln,Monitor,Electronics,7,456.32,PayPal,5,Nein,3194.24,OK
95,2025-10-06 5:27:33,Christina Langdon,Stuttgart,Tastatur,Electronics,1,726.66,Kreditkarte,4,Nein,726.66,OK
96,2025-07-31 1:39:29,Winnah Crosseland,Stuttgart,Maus,Electronics,2,476.74,PayPal,2,Nein,953.48,OK
97,2025-12-20 9:53:29,Julio Tewelson,Frankfurt,Monitor,Electronics,8,1171.09,Barzahlung,4,Nein,9368.72,OK
98,2025-11-24 21:48:02,Northrop Reisenberg,Köln,USB-Hub,Zubehör,2,983.08,Kreditkarte,4,Nein,1966.16,OK
99,2025-12-26 15:31:26,Meggie Evitts,Leipzig,USB-Hub,Electronics,4,461.86,PayPal,4,Nein,1847.44,OK
100,2026-04-18 8:36:32,Chelsey Harrigan,Frankfurt,Kopfhörer,Zubehör,6,913.58,Banküberweisung,1,Nein,5481.48,OK
101,2025-11-29 13:34:11,Teodoor Duffree,Düsseldorf,Webcam,Electronics,3,1043.83,Barzahlung,1,Nein,3131.49,OK
102,2025-06-09 11:14:49,Tracie Enrich,Berlin,Monitor,Zubehör,4,508.9,PayPal,5,Nein,2035.6,OK
103,2026-05-25 6:13:07,Frazer Wilber,Stuttgart,Kopfhörer,Electronics,7,1118.07,Kreditkarte,4,Nein,7826.49,OK
104,2025-07-18 5:00:31,Bamby Fleming,München,Monitor,Electronics,1,843,Barzahlung,5,Nein,843,OK
105,2026-01-18 23:34:32,Arabel Yard,Leipzig,Tastatur,Zubehör,9,1172.37,Banküberweisung,4,Nein,10551.33,OK
106,2026-03-25 23:29:06,Estel Grigori,München,Maus,Electronics,1,809.36,Banküberweisung,4,Nein,809.36,OK
107,2025-11-17 8:19:32,Fernandina Worling,Berlin,USB-Hub,Electronics,7,837.5,Kreditkarte,4,Nein,5862.5,OK
108,2025-11-15 2:07:17,Archambault Bagnall,Frankfurt,Tastatur,Electronics,10,1083.09,Kreditkarte,5,Ja,10830.9,OK
109,2025-11-26 1:33:05,Katharine Franiak,Hamburg,Laptop,Electronics,1,382.15,Barzahlung,5,Ja,382.15,OK
110,2026-05-23 15:15:59,Taylor Booty,Berlin,Monitor,Electronics,8,990.25,Barzahlung,2,Nein,7922,OK
111,2025-09-24 18:19:00,Inglis Delahunty,Leipzig,USB-Hub,Zubehör,5,965,Banküberweisung,3,Ja,4825,OK
112,2026-05-15 16:26:49,Blanche Riccardelli,München,USB-Hub,Electronics,5,1175.77,Barzahlung,4,Nein,5878.85,OK
113,2026-01-17 23:22:49,Hamlin Hazart,Frankfurt,Maus,Electronics,4,848.49,Banküberweisung,3,Ja,3393.96,OK
114,2025-11-23 21:56:18,Julia Mityukov,Stuttgart,USB-Hub,Electronics,8,878.31,Banküberweisung,1,Nein,7026.48,OK
115,2025-07-16 4:03:16,Wolfy Muge,Berlin,Maus,Zubehör,8,815.24,Banküberweisung,4,Nein,6521.92,OK
116,2025-12-07 19:27:04,Cathrine MacShane,Leipzig,USB-Hub,Zubehör,1,551.72,Banküberweisung,5,Nein,551.72,OK
117,2025-09-17 13:58:54,Gothart Hugueville,Hamburg,Smartphone,Zubehör,1,802.5,Barzahlung,3,Nein,802.5,OK
118,2026-02-16 5:55:55,Ajay Martel,Stuttgart,Tastatur,Zubehör,2,519.16,Kreditkarte,3,Nein,1038.32,OK
119,2025-06-24 23:28:56,Ayn Saddington,Hamburg,USB-Hub,Zubehör,10,319.73,PayPal,5,Nein,3197.3,OK
120,2025-08-30 13:39:36,Peterus Thrush,Leipzig,Webcam,Zubehör,6,213.79,Banküberweisung,4,Nein,1282.74,OK
121,2025-07-05 7:16:32,Corie Field,Köln,Kopfhörer,Electronics,7,66.35,Kreditkarte,2,Nein,464.45,OK
122,2026-04-19 9:02:13,Lin Chantillon,München,Maus,Electronics,5,384.11,Kreditkarte,2,Nein,1920.55,OK
123,2025-10-11 4:47:58,Susann Squeers,München,Smartphone,Electronics,9,138.32,PayPal,1,Nein,1244.88,OK
124,2026-03-03 5:25:12,Barbie Lebourn,Berlin,Tastatur,Zubehör,4,154.1,Barzahlung,2,Ja,616.4,OK
125,2025-06-13 17:28:05,Baillie Clynter,Düsseldorf,Laptop,Zubehör,9,580.59,Kreditkarte,1,Nein,5225.31,OK
126,2026-03-02 4:52:41,Rhodie Defrain,Köln,Maus,Electronics,6,874.14,PayPal,5,Nein,5244.84,OK
127,2025-10-27 12:06:51,Barrie Baudi,Leipzig,Monitor,Zubehör,7,1009.18,Banküberweisung,5,Nein,7064.26,OK
128,2026-04-12 1:45:06,Lark Harflete,Hamburg,Laptop,Zubehör,8,877.53,Kreditkarte,3,Nein,7020.24,OK
129,2025-06-16 3:43:51,Nevil Questier,Hamburg,Smartphone,Zubehör,8,1129.17,Kreditkarte,1,Nein,9033.36,OK
130,2026-03-02 17:07:02,Mead Arrigucci,München,Kopfhörer,Electronics,1,1161.72,PayPal,2,Nein,1161.72,OK
131,2025-12-27 8:46:12,Harriett Ridings,Hamburg,Monitor,Zubehör,6,379.92,Banküberweisung,5,Nein,2279.52,OK
132,2025-08-07 20:45:12,Eben Parrot,Leipzig,Maus,Zubehör,2,256.5,Kreditkarte,1,Ja,513,OK
133,2025-09-18 14:55:14,Samantha Cumberland,Frankfurt,Smartphone,Zubehör,4,961.37,Barzahlung,1,Nein,3845.48,OK
134,2025-09-19 0:37:43,Jo ann Molineaux,München,Maus,Electronics,6,410.2,Barzahlung,5,Ja,2461.2,OK
135,2026-02-15 4:36:38,Graham Baistow,Hamburg,Maus,Electronics,1,772.43,Banküberweisung,5,Ja,772.43,OK
136,2025-06-15 8:13:01,Rubie Lancashire,Stuttgart,Laptop,Zubehör,6,971.5,Kreditkarte,4,Nein,5829,OK
137,2026-05-08 3:04:32,Hannis Tanman,Leipzig,Monitor,Zubehör,7,1034.72,PayPal,3,Nein,7243.04,OK
138,2025-08-07 17:12:56,Leandra Walwood,München,Webcam,Zubehör,1,789.57,Barzahlung,2,Nein,789.57,OK
139,2026-02-22 9:50:49,Chevy Bolle,Frankfurt,USB-Hub,Zubehör,9,150.72,Kreditkarte,2,Nein,1356.48,OK
140,2025-08-09 6:22:57,Dorolisa Garfoot,Berlin,Maus,Electronics,6,442.03,PayPal,5,Nein,2652.18,OK
141,2026-02-20 14:00:32,Vin MacGhee,Berlin,Smartphone,Electronics,6,1173.19,Banküberweisung,4,Nein,7039.14,OK
142,2025-08-18 11:36:00,Kristian Peret,Düsseldorf,Tastatur,Zubehör,3,626.6,Kreditkarte,2,Ja,1879.8,OK
143,2026-02-06 2:43:59,Carl Dowdle,Köln,USB-Hub,Zubehör,4,741.48,Banküberweisung,5,Nein,2965.92,OK
144,2025-06-22 15:12:26,Gil Tythe,München,Laptop,Zubehör,5,198.81,PayPal,2,Nein,994.05,OK
145,2026-04-22 23:30:38,Lesley Symons,München,Tastatur,Electronics,1,221.02,Kreditkarte,1,Nein,221.02,OK
146,2025-12-12 21:02:25,Annamaria Gulleford,Leipzig,Laptop,Zubehör,5,467.15,Barzahlung,3,Nein,2335.75,OK
147,2026-01-07 11:38:31,Dulcea Dutchburn,Köln,Laptop,Electronics,7,937.89,Barzahlung,2,Ja,6565.23,OK
148,2025-07-06 10:20:01,Tris Milby,Hamburg,Laptop,Zubehör,3,995.6,Barzahlung,1,Nein,2986.8,OK
149,2026-05-02 22:16:13,Ulrike Tripett,Hamburg,Webcam,Zubehör,6,818.5,Barzahlung,3,Nein,4911,OK
150,2025-08-25 1:11:05,Franciskus Horsell,Stuttgart,Laptop,Electronics,9,515.52,Barzahlung,3,Nein,4639.68,OK
151,2026-04-25 10:28:36,Clarine Pughe,Frankfurt,Monitor,Electronics,5,373.48,Banküberweisung,3,Nein,1867.4,OK
152,2025-12-28 8:26:21,Oralla Wythe,München,Kopfhörer,Electronics,8,204.35,Barzahlung,1,Nein,1634.8,OK
153,2025-12-03 1:41:07,Kathlin Prettejohns,Stuttgart,Tastatur,Electronics,2,1092.67,PayPal,3,Nein,2185.34,OK
154,2026-01-21 9:27:34,Adrianne Cottam,Hamburg,Tastatur,Electronics,6,1136.53,PayPal,3,Nein,6819.18,OK
155,2026-04-24 4:12:34,Derk Brazer,Frankfurt,Tastatur,Electronics,5,736.43,Banküberweisung,5,Nein,3682.15,OK
156,2026-03-28 23:10:03,Dynah Itzkov,Frankfurt,Tastatur,Electronics,8,43.21,PayPal,1,Nein,345.68,OK
157,2026-01-21 22:28:29,Cale Penticoot,Leipzig,Webcam,Zubehör,7,824.05,Kreditkarte,2,Nein,5768.35,OK
158,2025-07-24 19:34:50,Celestyna Pattrick,München,Maus,Zubehör,1,702.93,PayPal,4,Ja,702.93,OK
159,2025-07-21 0:35:11,Lucky Treker,Düsseldorf,Laptop,Electronics,8,736.79,Kreditkarte,1,Nein,5894.32,OK
160,2025-11-16 2:52:48,Dalis Sandhill,Frankfurt,Tastatur,Zubehör,7,546.7,Kreditkarte,1,Nein,3826.9,OK
161,2025-08-28 2:15:26,Gretchen Allender,Düsseldorf,Kopfhörer,Zubehör,10,121.83,PayPal,3,Nein,1218.3,OK
162,2025-08-28 20:38:57,Thelma Quant,Frankfurt,Tastatur,Zubehör,6,292.87,Kreditkarte,3,Nein,1757.22,OK
163,2026-05-23 9:21:31,Aggie Brookz,Frankfurt,Monitor,Electronics,6,1115.97,Barzahlung,5,Nein,6695.82,OK
164,2025-07-06 5:39:08,Pearce Fullman,Berlin,Kopfhörer,Electronics,5,260.59,PayPal,4,Nein,1302.95,OK
165,2025-06-08 11:38:21,Kerk Schmuhl,München,Kopfhörer,Electronics,9,201.27,Banküberweisung,5,Nein,1811.43,OK
166,2025-12-09 13:52:07,Nancy Brokenshaw,Stuttgart,Webcam,Electronics,7,750.52,PayPal,2,Nein,5253.64,OK
167,2025-09-19 15:18:40,Richart Halliburton,Stuttgart,Webcam,Zubehör,5,99.19,Banküberweisung,4,Nein,495.95,OK
168,2025-09-29 23:27:02,Darby Perico,Düsseldorf,Webcam,Electronics,9,614.43,Barzahlung,5,Ja,5529.87,OK
169,2026-01-19 9:49:11,Damon Luney,Leipzig,Monitor,Electronics,9,779.49,Barzahlung,4,Nein,7015.41,OK
170,2026-04-20 19:52:08,Marj Doubleday,Frankfurt,Laptop,Zubehör,7,936.43,PayPal,4,Ja,6555.01,OK
171,2026-01-04 8:31:26,Dinah Gorst,Hamburg,Smartphone,Zubehör,10,402.25,Barzahlung,5,Nein,4022.5,OK
172,2025-07-03 15:27:35,Charmain Ybarra,Hamburg,Laptop,Electronics,7,40.51,Kreditkarte,5,Nein,283.57,OK
173,2025-12-30 10:43:10,Witty Verecker,Hamburg,Maus,Electronics,1,1077.31,Kreditkarte,4,Nein,1077.31,OK
174,2025-09-26 21:34:11,Matti Chaman,Frankfurt,Maus,Electronics,7,94.89,Banküberweisung,1,Nein,664.23,OK
175,2026-01-03 7:17:59,Maisey Prior,Leipzig,Laptop,Zubehör,10,178.39,Kreditkarte,5,Nein,1783.9,OK
176,2026-05-16 13:59:08,Reggi Lowen,Köln,Monitor,Zubehör,5,307.4,Banküberweisung,4,Nein,1537,OK
177,2025-08-23 5:42:19,Dominica McDavitt,Frankfurt,Maus,Electronics,9,182.46,Banküberweisung,2,Nein,1642.14,OK
178,2025-10-27 5:20:19,Jereme Foottit,Stuttgart,USB-Hub,Electronics,7,972.97,Banküberweisung,5,Nein,6810.79,OK
179,2025-08-15 15:27:45,Yehudi Leppard,Leipzig,Tastatur,Zubehör,1,605.81,PayPal,5,Nein,605.81,OK
180,2026-04-10 23:54:00,Zorah Woloschinski,Stuttgart,Maus,Electronics,6,999.83,PayPal,1,Ja,5998.98,OK
181,2025-09-13 14:44:46,Rakel Crampton,Düsseldorf,USB-Hub,Zubehör,1,782.11,Kreditkarte,4,Ja,782.11,OK
182,2026-03-11 18:33:13,Caesar Dillimore,Leipzig,Tastatur,Zubehör,7,785.96,Banküberweisung,5,Nein,5501.72,OK
183,2025-08-28 8:06:18,Ulrike Parren,Düsseldorf,Webcam,Electronics,3,446.53,Barzahlung,1,Nein,1339.59,OK
184,2025-09-26 12:50:44,Rhona Beggin,Leipzig,Maus,Electronics,6,441.04,Banküberweisung,1,Ja,2646.24,OK
185,2025-12-03 13:38:45,Drusi Klaas,Köln,Webcam,Electronics,1,282.82,Kreditkarte,1,Nein,282.82,OK
186,2025-08-04 5:13:28,Cristionna Castaignet,Hamburg,Laptop,Zubehör,2,432.03,Kreditkarte,4,Nein,864.06,OK
187,2026-05-13 16:12:39,Odette Clabburn,Frankfurt,Webcam,Zubehör,4,476.06,Barzahlung,2,Nein,1904.24,OK
188,2025-12-04 0:36:11,Barron Terbrugge,München,Maus,Zubehör,9,156.73,PayPal,1,Nein,1410.57,OK
189,2025-06-14 0:10:06,Lyle Prestner,München,Laptop,Electronics,3,994.25,PayPal,5,Nein,2982.75,OK
190,2026-04-09 11:22:34,Vern Alldridge,Köln,Monitor,Zubehör,9,1086.13,Banküberweisung,4,Nein,9775.17,OK
191,2025-06-16 15:29:11,Stewart Huard,Frankfurt,USB-Hub,Electronics,9,158.22,Banküberweisung,1,Nein,1423.98,OK
192,2025-08-04 5:51:40,Raphael Bricksey,Frankfurt,Smartphone,Electronics,10,356.76,Kreditkarte,1,Nein,3567.6,OK
193,2025-12-18 1:59:06,Duffie Corpe,Hamburg,Maus,Electronics,2,749.91,PayPal,1,Nein,1499.82,OK
194,2025-12-13 0:29:18,Luis Whitnall,Düsseldorf,Maus,Electronics,8,474.93,PayPal,4,Nein,3799.44,OK
195,2025-10-13 11:13:20,Gertrudis Boys,Köln,Smartphone,Electronics,3,1079.96,Barzahlung,2,Nein,3239.88,OK
196,2025-06-09 5:19:19,Marge Dabes,Frankfurt,Webcam,Electronics,10,337.04,PayPal,2,Ja,3370.4,OK
197,2026-05-01 7:10:49,Ravid Doel,Köln,Webcam,Electronics,6,596.98,Kreditkarte,2,Ja,3581.88,OK
198,2025-11-27 2:52:39,Sherilyn Streat,Köln,Webcam,Zubehör,1,745.7,PayPal,3,Nein,745.7,OK
199,2026-03-06 5:50:04,Keely Blagbrough,München,USB-Hub,Electronics,3,837.48,Kreditkarte,1,Nein,2512.44,OK
200,2026-04-23 1:35:52,Adham Draude,Berlin,Webcam,Electronics,6,910.54,Banküberweisung,4,Nein,5463.24,OK
201,2025-11-15 18:11:17,Aleksandr Hastler,Leipzig,Maus,Zubehör,7,695.46,Banküberweisung,5,Nein,4868.22,OK
202,2026-05-15 0:48:40,Daron Rudwell,Berlin,Tastatur,Zubehör,3,1061.33,Kreditkarte,3,Nein,3183.99,OK
203,2025-12-27 8:16:29,Editha Tordoff,Düsseldorf,Maus,Electronics,8,301.02,PayPal,2,Nein,2408.16,OK
204,2026-01-03 12:24:16,Jorge MacFarlan,Köln,Webcam,Electronics,5,650.41,Banküberweisung,1,Nein,3252.05,OK
